universal_concept_id,source_ref_id,standardized_domain,target_age_nominal_months,age_window_min_days,age_window_max_days,description_en,description_pt,statistical_threshold,is_red_flag,risk_factor_dependency
MOTOR_GROSS-HOLDS_HEAD_STEADY_WITHOUT_SUPPORT_WHEN_Y,CDC_4M_MOT_1,MOTOR_GROSS,4.0,105,135,Holds head steady without support when you are holding him,Mantém a cabeça firme sem apoio quando você o segura,P75,FALSE,
MOTF-HOLDS_A_TOY_WHEN_YOU_PUT_IT_IN_HIS_HAND,CDC_4M_MOTF_1,MOTOR_FINE,4.0,105,135,Holds a toy when you put it in his hand,Segura um brinquedo quando você o coloca na mão dele,P75,FALSE,
MOTOR_GROSS-USES_HIS_ARM_TO_SWING_AT_TOYS,CDC_4M_MOT_2,MOTOR_GROSS,4.0,105,135,Uses his arm to swing at toys,Usa o braço para balançar brinquedos,P75,FALSE,
MOTF-BRINGS_OBJECTS_TO_THE_MOUTH,CDC_4M_MOTF_2,MOTOR_FINE,4.0,105,135,Brings hands to mouth,Leva as mãos à boca,P75,FALSE,
MOTOR_GROSS-PUSHES_UP_ONTO_ELBOWSFOREARMS_WHEN_ON_TU,CDC_4M_MOT_3,MOTOR_GROSS,4.0,105,135,Pushes up onto elbows/forearms when on tummy,Empurra-se sobre os cotovelos/antebraços quando está de bruços,P75,FALSE,
SOCIAL-KNOWS_FAMILIAR_PEOPLE,CDC_6M_SOC_1,SOCIAL_EMOTIONAL,6.0,165,195,Knows familiar people,Reconhece pessoas familiares,P75,FALSE,
SOCIAL-LIKES_TO_LOOK_AT_SELF_IN_A_MIRROR,CDC_6M_SOC_2,SOCIAL_EMOTIONAL,6.0,165,195,Likes to look at self in a mirror,Gosta de olhar para si no espelho,P75,FALSE,
SOCIAL-LAUGHS,CDC_6M_SOC_3,SOCIAL_EMOTIONAL,6.0,165,195,Laughs,Ri,P75,FALSE,
COMM-TAKES_TURNS_MAKING_SOUNDS_WITH_YOU,CDC_6M_COM_1,COMMUNICATION,6.0,165,195,Takes turns making sounds with you,Intercala a produção de sons com você,P75,FALSE,
COMM-BLOWS_RASPBERRIES_STICKS_TONGUE_OUT_AND_,CDC_6M_COM_2,COMMUNICATION,6.0,165,195,Blows “raspberries” (sticks tongue out and blows),Faz “framboesa” (coloca a língua para fora e sopra),P75,FALSE,
COMM-MAKES_SQUEALING_NOISES,CDC_6M_COM_3,COMMUNICATION,6.0,165,195,Makes squealing noises,Produz sons agudos (guinchos),P75,FALSE,
COGNITIVE-PUTS_THINGS_IN_HER_MOUTH_TO_EXPLORE_THEM,CDC_6M_COG_1,COGNITIVE,6.0,165,195,Puts things in her mouth to explore them,Coloca coisas na boca para explorá-las,P75,FALSE,
COGNITIVE-REACHES_TO_GRAB_A_TOY_SHE_WANTS,CDC_6M_COG_2,COGNITIVE,6.0,165,195,Reaches to grab a toy she wants,Estende a mão para pegar um brinquedo que deseja,P75,FALSE,
COGNITIVE-CLOSES_LIPS_TO_SHOW_SHE_DOESNT_WANT_MORE,CDC_6M_COG_3,COGNITIVE,6.0,165,195,Closes lips to show she doesn’t want more food,Fecha os lábios para mostrar que não quer mais comida,P75,FALSE,
MOTOR_GROSS-ROLLS_FROM_TUMMY_TO_BACK,CDC_6M_MOT_1,MOTOR_GROSS,6.0,165,195,Rolls from tummy to back,Rola de bruços para costas,P75,FALSE,
MOTOR_GROSS-PUSHES_UP_ONTO_ELBOWSFOREARMS_WHEN_ON_TU,CDC_6M_MOT_2,MOTOR_GROSS,6.0,165,195,Pushes up with straight arms when on tummy,Empurra com os braços estendidos quando está de bruços,P75,FALSE,
MOTOR_GROSS-LEANS_ON_HANDS_TO_SUPPORT_HERSELF_WHEN_S,CDC_6M_MOT_3,MOTOR_GROSS,6.0,165,195,Leans on hands to support herself when sitting,Apoia-se nas mãos para se sustentar ao sentar,P75,FALSE,
SOCIAL-IS_SHY_CLINGY_OR_FEARFUL_AROUND_STRANGER,CDC_9M_SOC_1,SOCIAL_EMOTIONAL,9.0,255,285,"Is shy, clingy, or fearful around strangers","É tímido, apegado ou tem medo de estranhos",P75,FALSE,
SOCIAL-SHOWS_SEVERAL_FACIAL_EXPRESSIONS_LIKE_HA,CDC_9M_SOC_2,SOCIAL_EMOTIONAL,9.0,255,285,"Shows several facial expressions, like happy, sad, angry, and surprised","Mostra várias expressões faciais, como feliz, triste, bravo e surpreso",P75,FALSE,
SOCIAL-LOOKS_WHEN_YOU_CALL_HER_NAME,CDC_9M_SOC_3,SOCIAL_EMOTIONAL,9.0,255,285,Looks when you call her name,Olha quando você chama seu nome,P75,FALSE,
SOCIAL-REACTS_WHEN_YOU_LEAVE_LOOKS_REACHES_FOR_,CDC_9M_SOC_4,SOCIAL_EMOTIONAL,9.0,255,285,"Reacts when you leave (looks, reaches for you, or cries)","Reage quando você sai (olha, estende a mão ou chora)",P75,FALSE,
SOCIAL-SMILES_OR_LAUGHS_WHEN_YOU_PLAY_PEEKABOO,CDC_9M_SOC_5,SOCIAL_EMOTIONAL,9.0,255,285,Smiles or laughs when you play peek-a-boo,Sorri ou ri quando você brinca de esconde-esconde,P75,FALSE,
COMM-MAKES_A_LOT_OF_DIFFERENT_SOUNDS_LIKE_MAM,CDC_9M_COM_1,COMMUNICATION,9.0,255,285,Makes a lot of different sounds like “mamamama” and “bababababa”,Faz muitos sons diferentes como “mamamama” e “bababababa”,P75,FALSE,
COMM-LIFTS_ARMS_UP_TO_BE_PICKED_UP,CDC_9M_COM_2,COMMUNICATION,9.0,255,285,Lifts arms up to be picked up,Levanta os braços para ser pegado,P75,FALSE,
COGNITIVE-LOOKS_FOR_OBJECTS_WHEN_DROPPED_OUT_OF_SI,CDC_9M_COG_1,COGNITIVE,9.0,255,285,Looks for objects when dropped out of sight (like his spoon or toy),Procura objetos quando caem fora da vista (como a colher ou o brinquedo),P75,FALSE,
COGNITIVE-BANGS_TWO_THINGS_TOGETHER,CDC_9M_COG_2,COGNITIVE,9.0,255,285,Bangs two things together,Bate dois objetos um no outro,P75,FALSE,
MOTOR_GROSS-GETS_TO_A_SITTING_POSITION_BY_HERSELF,CDC_9M_MOT_1,MOTOR_GROSS,9.0,255,285,Gets to a sitting position by herself,Senta-se sozinha,P75,FALSE,
MOTF-TRANSFERS_OBJECTS_FROM_ONE_HAND_TO_THE_O,CDC_9M_MOTF_1,MOTOR_FINE,9.0,255,285,Moves things from one hand to her other hand,Passa objetos de uma mão para a outra,P75,FALSE,
MOTF-USES_FINGERS_TO_RAKE_FOOD_TOWARDS_HIMSEL,CDC_9M_MOTF_2,MOTOR_FINE,9.0,255,285,Uses fingers to “rake” food towards himself,Usa os dedos para “arrastar” comida em sua direção,P75,FALSE,
MOTOR_GROSS-SITS_WITHOUT_SUPPORT,CDC_9M_MOT_2,MOTOR_GROSS,9.0,255,285,Sits without support,Senta-se sem apoio,P75,FALSE,
SOCIAL-PLAYS_GAMES_WITH_YOU_LIKE_PATACAKE,CDC_12M_SOC_1,SOCIAL_EMOTIONAL,12.0,350,380,"Plays games with you, like pat-a-cake","Brinca com você, como bater palmas (pat-a-cake)",P75,FALSE,
COMM-WAVES_BYEBYE,CDC_12M_COM_1,COMMUNICATION,12.0,350,380,Waves “bye-bye”,Dá tchau,P75,FALSE,
COMM-CALLS_A_PARENT_MAMA_OR_DADA_OR_ANOTHER_S,CDC_12M_COM_2,COMMUNICATION,12.0,350,380,Calls a parent “mama” or “dada” or another special name,Chama um dos pais de “mamãe” ou “papai” ou outro nome especial,P75,FALSE,
COMM-UNDERSTANDS_NO_PAUSES_BRIEFLY_OR_STOPS_W,CDC_12M_COM_3,COMMUNICATION,12.0,350,380,Understands “no” (pauses briefly or stops when you say it),Entende “não” (pausa brevemente ou para quando você diz),P75,FALSE,
COGNITIVE-PUTS_SOMETHING_IN_A_CONTAINER_LIKE_A_BLO,CDC_12M_COG_1,COGNITIVE,12.0,350,380,"Puts something in a container, like a block in a cup","Coloca algo em um recipiente, como um bloco em um copo",P75,FALSE,
COGNITIVE-LOOKS_FOR_THINGS_HE_SEES_YOU_HIDE_LIKE_A,CDC_12M_COG_2,COGNITIVE,12.0,350,380,"Looks for things he sees you hide, like a toy under a blanket","Procura coisas que vê você esconder, como um brinquedo sob um cobertor",P75,FALSE,
MOTOR_GROSS-PULLS_UP_TO_STAND,CDC_12M_MOT_1,MOTOR_GROSS,12.0,350,380,Pulls up to stand,Puxa-se para ficar em pé,P75,FALSE,
MOTOR_GROSS-WALKS_HOLDING_ON_TO_FURNITURE,CDC_12M_MOT_2,MOTOR_GROSS,12.0,350,380,"Walks, holding on to furniture",Anda segurando nos móveis,P75,FALSE,
MOTF-DRINKS_FROM_A_CUP_WITHOUT_A_LID_AS_YOU_H,CDC_12M_MOTF_1,MOTOR_FINE,12.0,350,380,"Drinks from a cup without a lid, as you hold it",Bebe de um copo sem tampa enquanto você o segura,P75,FALSE,
MOTF-PICKS_THINGS_UP_BETWEEN_THUMB_AND_POINTE,CDC_12M_MOTF_2,MOTOR_FINE,12.0,350,380,"Picks things up between thumb and pointer finger, like small bits of food","Pega objetos entre o polegar e o indicador, como pequenos pedaços de comida",P75,FALSE,
SOCIAL-COPIES_OTHER_CHILDREN_WHILE_PLAYING_LIKE,CDC_15M_SOC_1,SOCIAL_EMOTIONAL,15.0,440,470,"Copies other children while playing, like taking toys out of a container when another child does","Imita outras crianças enquanto brinca, como tirar brinquedos de um recipiente quando outra criança faz",P75,FALSE,
SOCIAL-SHOWS_YOU_AN_OBJECT_SHE_LIKES,CDC_15M_SOC_2,SOCIAL_EMOTIONAL,15.0,440,470,Shows you an object she likes,Mostra um objeto que ela gosta,P75,FALSE,
SOCIAL-CLAPS_WHEN_EXCITED,CDC_15M_SOC_3,SOCIAL_EMOTIONAL,15.0,440,470,Claps when excited,Bate palmas quando está animada,P75,FALSE,
SOCIAL-HUGS_STUFFED_DOLL_OR_OTHER_TOY,CDC_15M_SOC_4,SOCIAL_EMOTIONAL,15.0,440,470,Hugs stuffed doll or other toy,Abraça boneco de pelúcia ou outro brinquedo,P75,FALSE,
SOCIAL-SHOWS_YOU_AFFECTION_HUGS_CUDDLES_OR_KISS,CDC_15M_SOC_5,SOCIAL_EMOTIONAL,15.0,440,470,"Shows you affection (hugs, cuddles, or kisses you)","Demonstra afeto (abraços, carinhos ou beijos)",P75,FALSE,
COMM-TRIES_TO_SAY_ONE_OR_TWO_WORDS_BESIDES_MA,CDC_15M_COM_1,COMMUNICATION,15.0,440,470,"Tries to say one or two words besides “mama” or “dada,” like “ba” for ball or “da” for dog","Tenta dizer uma ou duas palavras além de “mamãe” ou “papai”, como “ba” para bola ou “da” para cachorro",P75,FALSE,
COMM-LOOKS_AT_A_FAMILIAR_OBJECT_WHEN_YOU_NAME,CDC_15M_COM_2,COMMUNICATION,15.0,440,470,Looks at a familiar object when you name it,Olha para um objeto familiar quando você o nomeia,P75,FALSE,
COMM-FOLLOWS_DIRECTIONS_GIVEN_WITH_BOTH_A_GES,CDC_15M_COM_3,COMMUNICATION,15.0,440,470,"Follows directions given with both a gesture and words. For example, he gives you a toy when you hold out your hand and say, “Give me the toy.”","Segue instruções dadas com gesto e palavras. Por exemplo, ele entrega o brinquedo quando você estende a mão e diz: “Me dê o brinquedo.”",P75,FALSE,
COMM-POINTS_TO_ASK_FOR_SOMETHING_OR_TO_GET_HE,CDC_15M_COM_4,COMMUNICATION,15.0,440,470,Points to ask for something or to get help,Aponta para pedir algo ou pedir ajuda,P75,FALSE,
COGNITIVE-TRIES_TO_USE_THINGS_THE_RIGHT_WAY_LIKE_A,CDC_15M_COG_1,COGNITIVE,15.0,440,470,"Tries to use things the right way, like a phone, cup, or book","Tenta usar objetos da maneira correta, como telefone, copo ou livro",P75,FALSE,
COGNITIVE-STACKS_AT_LEAST_TWO_SMALL_OBJECTS_LIKE_B,CDC_15M_COG_2,COGNITIVE,15.0,440,470,"Stacks at least two small objects, like blocks","Empilha pelo menos dois objetos pequenos, como blocos",P75,FALSE,
MOTOR_GROSS-TAKES_A_FEW_STEPS_ON_HIS_OWN,CDC_15M_MOT_1,MOTOR_GROSS,15.0,440,470,Takes a few steps on his own,Dá alguns passos sozinho,P75,FALSE,
MOTF-USES_FINGERS_TO_FEED_HERSELF_SOME_FOOD,CDC_15M_MOTF_1,MOTOR_FINE,15.0,440,470,Uses fingers to feed herself some food,Usa os dedos para se alimentar,P75,FALSE,
SOCIAL-MOVES_AWAY_FROM_YOU_BUT_LOOKS_TO_MAKE_SU,CDC_18M_SOC_1,SOCIAL_EMOTIONAL,18.0,530,560,"Moves away from you, but looks to make sure you are close by","Afasta-se de você, mas olha para garantir que você está por perto",P75,FALSE,
SOCIAL-POINTS_TO_SHOW_YOU_SOMETHING_INTERESTING,CDC_18M_SOC_2,SOCIAL_EMOTIONAL,18.0,530,560,Points to show you something interesting,Aponta para mostrar algo interessante,P75,FALSE,
SOCIAL-PUTS_HANDS_OUT_FOR_YOU_TO_WASH_THEM,CDC_18M_SOC_3,SOCIAL_EMOTIONAL,18.0,530,560,Puts hands out for you to wash them,Estende as mãos para você lavá-las,P75,FALSE,
SOCIAL-LOOKS_AT_A_FEW_PAGES_IN_A_BOOK_WITH_YOU,CDC_18M_SOC_4,SOCIAL_EMOTIONAL,18.0,530,560,Looks at a few pages in a book with you,Olha algumas páginas de um livro com você,P75,FALSE,
SOCIAL-HELPS_YOU_DRESS_HIM_BY_PUSHING_ARM_THROU,CDC_18M_SOC_5,SOCIAL_EMOTIONAL,18.0,530,560,Helps you dress him by pushing arm through sleeve or lifting up foot,Ajuda a se vestir empurrando o braço pela manga ou levantando o pé,P75,FALSE,
COMM-TRIES_TO_SAY_THREE_OR_MORE_WORDS_BESIDES,CDC_18M_COM_1,COMMUNICATION,18.0,530,560,Tries to say three or more words besides “mama” or “dada”,Tenta dizer três ou mais palavras além de “mamãe” ou “papai”,P75,FALSE,
COMM-FOLLOWS_ONESTEP_DIRECTIONS_WITHOUT_ANY_G,CDC_18M_COM_2,COMMUNICATION,18.0,530,560,"Follows one-step directions without any gestures, like giving you the toy when you say, “Give it to me.”","Segue instruções de um passo sem gestos, como entregar o brinquedo quando você diz: “Dê para mim.”",P75,FALSE,
COGNITIVE-COPIES_YOU_DOING_CHORES_LIKE_SWEEPING_WI,CDC_18M_COG_1,COGNITIVE,18.0,530,560,"Copies you doing chores, like sweeping with a broom","Imita você fazendo tarefas, como varrer com uma vassoura",P75,FALSE,
COGNITIVE-PLAYS_WITH_TOYS_IN_A_SIMPLE_WAY_LIKE_PUS,CDC_18M_COG_2,COGNITIVE,18.0,530,560,"Plays with toys in a simple way, like pushing a toy car","Brinca com brinquedos de forma simples, como empurrar um carrinho",P75,FALSE,
MOTOR_GROSS-WALKS_WITHOUT_HOLDING_ON_TO_ANYONE_OR_AN,CDC_18M_MOT_1,MOTOR_GROSS,18.0,530,560,Walks without holding on to anyone or anything,Anda sem segurar em ninguém ou em nada,P75,FALSE,
MOTF-SCRIBBLES,CDC_18M_MOTF_1,MOTOR_FINE,18.0,530,560,Scribbles,Rabisca,P75,FALSE,
MOTF-DRINKS_FROM_A_CUP_WITHOUT_A_LID_AS_YOU_H,CDC_18M_MOTF_2,MOTOR_FINE,18.0,530,560,Drinks from a cup without a lid and may spill sometimes,Bebe de um copo sem tampa e pode derramar às vezes,P75,FALSE,
MOTF-FEEDS_HIMSELF_WITH_HIS_FINGERS,CDC_18M_MOTF_3,MOTOR_FINE,18.0,530,560,Feeds himself with his fingers,Alimenta-se com os dedos,P75,FALSE,
MOTF-TRIES_TO_USE_A_SPOON,CDC_18M_MOTF_4,MOTOR_FINE,18.0,530,560,Tries to use a spoon,Tenta usar uma colher,P75,FALSE,
MOTOR_GROSS-CLIMBS_ON_AND_OFF_A_COUCH_OR_CHAIR_WITHO,CDC_18M_MOT_2,MOTOR_GROSS,18.0,530,560,Climbs on and off a couch or chair without help,Sobe e desce de um sofá ou cadeira sem ajuda,P75,FALSE,
SOCIAL-NOTICES_WHEN_OTHERS_ARE_HURT_OR_UPSET_LI,CDC_24M_SOC_1,SOCIAL_EMOTIONAL,24.0,700,730,"Notices when others are hurt or upset, like pausing or looking sad when someone is crying","Percebe quando outras pessoas estão machucadas ou tristes, como pausar ou parecer triste quando alguém chora",P75,FALSE,
SOCIAL-LOOKS_AT_YOUR_FACE_TO_SEE_HOW_TO_REACT_I,CDC_24M_SOC_2,SOCIAL_EMOTIONAL,24.0,700,730,Looks at your face to see how to react in a new situation,Olha para o seu rosto para ver como reagir em uma situação nova,P75,FALSE,
COMM-POINTS_TO_THINGS_IN_A_BOOK_WHEN_YOU_ASK_,CDC_24M_COM_1,COMMUNICATION,24.0,700,730,"Points to things in a book when you ask, like “Where is the bear?”","Aponta para coisas em um livro quando você pergunta, como: “Onde está o urso?”",P75,FALSE,
COMM-SAYS_AT_LEAST_TWO_WORDS_TOGETHER_LIKE_MO,CDC_24M_COM_2,COMMUNICATION,24.0,700,730,"Says at least two words together, like “More milk.”","Diz pelo menos duas palavras juntas, como: “Mais leite.”",P75,FALSE,
COMM-POINTS_TO_AT_LEAST_TWO_BODY_PARTS_WHEN_Y,CDC_24M_COM_3,COMMUNICATION,24.0,700,730,Points to at least two body parts when you ask him to show you,Aponta pelo menos duas partes do corpo quando você pede,P75,FALSE,
COMM-USES_MORE_GESTURES_THAN_JUST_WAVING_AND_,CDC_24M_COM_4,COMMUNICATION,24.0,700,730,"Uses more gestures than just waving and pointing, like blowing a kiss or nodding yes","Usa mais gestos além de acenar e apontar, como mandar um beijo ou balançar a cabeça afirmativamente",P75,FALSE,
COGNITIVE-HOLDS_SOMETHING_IN_ONE_HAND_WHILE_USING_,CDC_24M_COG_1,COGNITIVE,24.0,700,730,"Holds something in one hand while using the other hand; for example, holding a container and taking the lid off","Segura algo em uma mão enquanto usa a outra; por exemplo, segura um recipiente e tira a tampa",P75,FALSE,
COGNITIVE-TRIES_TO_USE_SWITCHES_KNOBS_OR_BUTTONS_O,CDC_24M_COG_2,COGNITIVE,24.0,700,730,"Tries to use switches, knobs, or buttons on a toy","Tenta usar interruptores, botões ou manípulos em um brinquedo",P75,FALSE,
COGNITIVE-PLAYS_WITH_MORE_THAN_ONE_TOY_AT_THE_SAME,CDC_24M_COG_3,COGNITIVE,24.0,700,730,"Plays with more than one toy at the same time, like putting toy food on a toy plate","Brinca com mais de um brinquedo ao mesmo tempo, como colocar comida de brinquedo em um prato de brinquedo",P75,FALSE,
MOTOR_GROSS-KICKS_A_BALL,CDC_24M_MOT_1,MOTOR_GROSS,24.0,700,730,Kicks a ball,Chuta uma bola,P75,FALSE,
MOTOR_GROSS-RUNS,CDC_24M_MOT_2,MOTOR_GROSS,24.0,700,730,Runs,Corre,P75,FALSE,
MOTOR_GROSS-WALKS_NOT_CLIMBS_UP_A_FEW_STAIRS_WITH_OR,CDC_24M_MOT_3,MOTOR_GROSS,24.0,700,730,Walks (not climbs) up a few stairs with or without help,Sobe alguns degraus com ou sem ajuda (não escalando),P75,FALSE,
MOTF-EATS_WITH_A_SPOON,CDC_24M_MOTF_1,MOTOR_FINE,24.0,700,730,Eats with a spoon,Come com uma colher,P75,FALSE,
SOCIAL-PLAYS_NEXT_TO_OTHER_CHILDREN_AND_SOMETIM,CDC_30M_SOC_1,SOCIAL_EMOTIONAL,30.0,880,930,Plays next to other children and sometimes plays with them,Brinca ao lado de outras crianças e às vezes brinca com elas,P75,FALSE,
SOCIAL-SHOWS_YOU_WHAT_SHE_CAN_DO_BY_SAYING_LOOK,CDC_30M_SOC_2,SOCIAL_EMOTIONAL,30.0,880,930,"Shows you what she can do by saying, “Look at me!”",Mostra o que sabe fazer dizendo: “Olha para mim!”,P75,FALSE,
SOCIAL-FOLLOWS_SIMPLE_ROUTINES_WHEN_TOLD_LIKE_H,CDC_30M_SOC_3,SOCIAL_EMOTIONAL,30.0,880,930,"Follows simple routines when told, like helping to pick up toys when you say, “It’s clean-up time.”","Segue rotinas simples quando solicitado, como ajudar a guardar brinquedos quando você diz: “É hora de arrumar.”",P75,FALSE,
COMM-SAYS_ABOUT_50_WORDS,CDC_30M_COM_1,COMMUNICATION,30.0,880,930,Says about 50 words,Diz cerca de 50 palavras,P75,FALSE,
COMM-SAYS_TWO_OR_MORE_WORDS_TOGETHER_WITH_ONE,CDC_30M_COM_2,COMMUNICATION,30.0,880,930,"Says two or more words together, with one action word, like “Doggie run”","Diz duas ou mais palavras juntas, com uma palavra de ação, como “Cachorro corre”",P75,FALSE,
COMM-POINTS_TO_THINGS_IN_A_BOOK_WHEN_YOU_ASK_,CDC_30M_COM_3,COMMUNICATION,30.0,880,930,"Names things in a book when you point and ask, “What is this?”",Nomeia coisas em um livro quando você aponta e pergunta: “O que é isto?”,P75,FALSE,
COMM-SAYS_WORDS_LIKE_I_ME_OR_WE,CDC_30M_COM_4,COMMUNICATION,30.0,880,930,"Says words like “I,” “me,” or “we”","Diz palavras como “eu”, “mim” ou “nós”",P75,FALSE,
COGNITIVE-USES_THINGS_TO_PRETEND_LIKE_FEEDING_A_BL,CDC_30M_COG_1,COGNITIVE,30.0,880,930,"Uses things to pretend, like feeding a block to a doll as if it were food","Usa objetos para brincar de faz de conta, como dar um bloco para uma boneca como se fosse comida",P75,FALSE,
COGNITIVE-SHOWS_SIMPLE_PROBLEMSOLVING_SKILLS_LIKE_,CDC_30M_COG_2,COGNITIVE,30.0,880,930,"Shows simple problem-solving skills, like standing on a small stool to reach something","Mostra habilidades simples de resolver problemas, como ficar em um banquinho para alcançar algo",P75,FALSE,
COGNITIVE-FOLLOWS_TWOSTEP_INSTRUCTIONS_LIKE_PUT_TH,CDC_30M_COG_3,COGNITIVE,30.0,880,930,Follows two-step instructions like “Put the toy down and close the door.”,"Segue instruções de dois passos, como “Coloque o brinquedo no chão e feche a porta.”",P75,FALSE,
COGNITIVE-SHOWS_HE_KNOWS_AT_LEAST_ONE_COLOR_LIKE_P,CDC_30M_COG_4,COGNITIVE,30.0,880,930,"Shows he knows at least one color, like pointing to a red crayon when you ask, “Which one is red?”","Mostra que conhece pelo menos uma cor, como apontar para um giz de cera vermelho quando você pergunta: “Qual é o vermelho?”",P75,FALSE,
MOTF-USES_HANDS_TO_TWIST_THINGS_LIKE_TURNING_,CDC_30M_MOTF_1,MOTOR_FINE,30.0,880,930,"Uses hands to twist things, like turning doorknobs or unscrewing lids","Usa as mãos para girar objetos, como virar maçanetas ou desenroscar tampas",P75,FALSE,
MOTF-TAKES_SOME_CLOTHES_OFF_BY_HIMSELF_LIKE_L,CDC_30M_MOTF_2,MOTOR_FINE,30.0,880,930,"Takes some clothes off by himself, like loose pants or an open jacket","Tira algumas roupas sozinho, como calças folgadas ou uma jaqueta aberta",P75,FALSE,
MOTOR_GROSS-JUMPS_WITH_BOTH_FEET,CDC_30M_MOT_1,MOTOR_GROSS,30.0,880,930,Jumps off the ground with both feet,Salta do chão com os dois pés,P75,FALSE,
MOTF-TURNS_BOOK_PAGES_ONE_AT_A_TIME_WHEN_YOU_,CDC_30M_MOTF_3,MOTOR_FINE,30.0,880,930,"Turns book pages, one at a time, when you read to her","Vira páginas de um livro, uma por vez, quando você lê para ela",P75,FALSE,
